,Gene.id,gene.id,GO.ids
14938,111258739,X.4,GO:0008152
14939,111258739,X.5,GO:0009566
14940,111258739,X.6,GO:0009987
14941,111258739,X.7,GO:0050829
14942,111258739,X.8,GO:0050830
15071,111258740,X,GO:0005515
15208,111258742,X,GO:0042981
15345,111258743,X,GO:0065007
15482,111258745,X,GO:0030176
15483,111258745,X.1,GO:0032281
15484,111258745,X.2,GO:0008374
15485,111258745,X.3,GO:0017147
15486,111258745,X.4,GO:0071617
15487,111258745,X.5,GO:1990698
15488,111258745,X.6,GO:0006644
15489,111258745,X.7,GO:0009100
15490,111258745,X.8,GO:0009306
15491,111258745,X.9,GO:0045017
15492,111258745,X.10,GO:0045234
15493,111258745,X.11,GO:0048598
15494,111258745,X.12,GO:0060070
15619,111258746,X,GO:0016747
15620,111258746,X.1,GO:0008152
15756,111258749,X,GO:0005509
15893,111258752,X,GO:0003723
15894,111258752,X.1,GO:0016787
15895,111258752,X.2,GO:0030145
16030,111258753,X,GO:0003676
16031,111258753,X.1,GO:0008270
16167,111258756,X,GO:0005515
16168,111258756,X.1,GO:0070682
16304,111258760,X,GO:0005515
16441,111258761,X,GO:0005622
16442,111258761,X.1,GO:0016020
16578,111258764,X,GO:0005515
16715,111258765,X,GO:0005634
16716,111258765,X.1,GO:0003779
16717,111258765,X.2,GO:0006915
16718,111258765,X.3,GO:0016055
16719,111258765,X.4,GO:0030154
16720,111258765,X.5,GO:0045892
16852,111258766,X,GO:0005730
16853,111258766,X.1,GO:0005764
16854,111258766,X.2,GO:0005886
16855,111258766,X.3,GO:0008021
16856,111258766,X.4,GO:0030054
16857,111258766,X.5,GO:0030141
16858,111258766,X.6,GO:0043005
16859,111258766,X.7,GO:0044433
16860,111258766,X.8,GO:0098588
16861,111258766,X.9,GO:0098805
16862,111258766,X.10,GO:0120038
16863,111258766,X.11,GO:0000149
16864,111258766,X.12,GO:0004674
16865,111258766,X.13,GO:0005543
16866,111258766,X.14,GO:0046872
16867,111258766,X.15,GO:0002252
16868,111258766,X.16,GO:0002682
16869,111258766,X.17,GO:0006468
16870,111258766,X.18,GO:0006952
16871,111258766,X.19,GO:0006955
16872,111258766,X.20,GO:0007165
16873,111258766,X.21,GO:0007399
16874,111258766,X.22,GO:0010647
16875,111258766,X.23,GO:0010720
16876,111258766,X.24,GO:0016050
16877,111258766,X.25,GO:0016079
16878,111258766,X.26,GO:0017158
16879,111258766,X.27,GO:0022607
16880,111258766,X.28,GO:0023056
16881,111258766,X.29,GO:0030100
16882,111258766,X.30,GO:0032386
16883,111258766,X.31,GO:0040017
16884,111258766,X.32,GO:0045321
16885,111258766,X.33,GO:0048167
16886,111258766,X.34,GO:0048584
16887,111258766,X.35,GO:0051130
16888,111258766,X.36,GO:0051239
16889,111258766,X.37,GO:0061024
16890,111258766,X.38,GO:0140029
16891,111258766,X.39,GO:1903307
16892,111258766,X.40,GO:1990504
16989,111258768,X,GO:0043231
16990,111258768,X.1,GO:0005515
16991,111258768,X.2,GO:0050262
16992,111258768,X.3,GO:0061769
16993,111258768,X.4,GO:0019674
17126,111258770,X,GO:0097367
17127,111258770,X.1,GO:0004360
17128,111258770,X.2,GO:1901137
17129,111258770,X.3,GO:0006886
17263,111258774,X,GO:0005634
17264,111258774,X.1,GO:0042254
17400,111258775,X,GO:0003743
17401,111258775,X.1,GO:0006413
17537,111258777,X,GO:0005515
17674,111258781,X,GO:0005515
17811,111258782,X,GO:0008565
17812,111258782,X.1,GO:0015031
17813,111258782,X.2,GO:0016192
17948,111258783,X,GO:0005740
17949,111258783,X.1,GO:0016021
17950,111258783,X.2,GO:0043065
18085,111258784,X,GO:0003676
18222,111258790,X,GO:0016747
18359,111258792,X,GO:0005615
18360,111258792,X.1,GO:0005764
18361,111258792,X.2,GO:0004620
18362,111258792,X.3,GO:0046475
18363,111258792,X.4,GO:0046488
18496,111258794,X,GO:0004252
18497,111258794,X.1,GO:0006508
18633,111258795,X,GO:0005739
18634,111258795,X.1,GO:0005840
18635,111258795,X.2,GO:0044446
18636,111258795,X.3,GO:0003723
18637,111258795,X.4,GO:0010467
18638,111258795,X.5,GO:0034660
18770,111258796,X,GO:0032956
18771,111258796,X.1,GO:0005913
18772,111258796,X.2,GO:0045296
18773,111258796,X.3,GO:0010172
18774,111258796,X.4,GO:0098609
18907,111258802,X,GO:0005874
18908,111258802,X.1,GO:0003924
18909,111258802,X.2,GO:0005200
18910,111258802,X.3,GO:0005525
18911,111258802,X.4,GO:0007017
19044,111258803,X,GO:0042765
19181,111258804,X,GO:0008270
19182,111258804,X.1,GO:0004181
19183,111258804,X.2,GO:0006508
19318,111258806,X,GO:0005488
19455,111258807,X,GO:0005488
19592,111258808,X,GO:0003676
19593,111258808,X.1,GO:0008270
19729,111258809,X,GO:0005488
19730,111258809,X.1,GO:0015031
19866,111258810,X,GO:0003700
19867,111258810,X.1,GO:0006355
20003,111258811,X,GO:0008270
20004,111258811,X.1,GO:0004181
20005,111258811,X.2,GO:0006508
20140,111258812,X,GO:0007034
20277,111258813,X,GO:0005524
20278,111258813,X.1,GO:0003922
20279,111258813,X.2,GO:0016462
20280,111258813,X.3,GO:0006177
20414,111258818,X,GO:0005737
20415,111258818,X.1,GO:0016020
20416,111258818,X.2,GO:0003723
20417,111258818,X.3,GO:0005515
20418,111258818,X.4,GO:0050794
20551,111258819,X,GO:0016747
20688,111258823,X,GO:0005509
20689,111258823,X.1,GO:0005515
20825,111258836,X,GO:0070461
20962,111258837,X,GO:0016021
20963,111258837,X.1,GO:0004930
20964,111258837,X.2,GO:0007186
21099,111258851,X,GO:0005737
21100,111258851,X.1,GO:0004619
21101,111258851,X.2,GO:0030145
21102,111258851,X.3,GO:0006007
21236,111258852,X,GO:0005524
21237,111258852,X.1,GO:0030983
21238,111258852,X.2,GO:0006298
21373,111258856,X,GO:0003824
21374,111258856,X.1,GO:0046872
21510,111258857,X,GO:0003824
21511,111258857,X.1,GO:0030170
21512,111258857,X.2,GO:0009058
21647,111258859,X,GO:0006457
21784,111258865,X,GO:0003779
21785,111258865,X.1,GO:0017048
21786,111258865,X.2,GO:0030036
21921,111258866,X,GO:0003735
21922,111258866,X.1,GO:0015935
21923,111258866,X.2,GO:0006412
22058,111258868,X,GO:0012505
22059,111258868,X.1,GO:0043231
